date,value
2021-01-01,49.6
2021-01-02,49.82
2021-01-03,49.84
2021-01-04,49.93
2021-01-05,49.16
2021-01-06,49.18
2021-01-07,49.68
2021-01-08,51.13
2021-01-09,52.09
2021-01-10,54.25
2021-01-11,53.48
2021-01-12,54.35
2021-01-13,54.53
2021-01-14,56.72
2021-01-15,55.92
2021-01-16,55.08
2021-01-17,54.48
2021-01-18,52.35
2021-01-19,51.83
2021-01-20,51.07
2021-01-21,51.22
2021-01-22,51.56
2021-01-23,53.44
2021-01-24,54.39
2021-01-25,53.81
2021-01-26,52.91
2021-01-27,53.4
2021-01-28,52.08
2021-01-29,53.91
2021-01-30,55.09
2021-01-31,54.62
2021-02-01,52.91
2021-02-02,54.27
2021-02-03,54.15
2021-02-04,55.39
2021-02-05,53.79
2021-02-06,53.2
2021-02-07,53.2
2021-02-08,53.25
2021-02-09,52.8
2021-02-10,83.42
2021-02-11,52.35
2021-02-12,52.21
2021-02-13,52.33
2021-02-14,52.84
2021-02-15,53.56
2021-02-16,52.43
2021-02-17,50.9
2021-02-18,52.18
2021-02-19,52.51
2021-02-20,51.76
2021-02-21,53.31
2021-02-22,53.43
2021-02-23,54.61
2021-02-24,54.67
2021-02-25,56.73
2021-02-26,58.49
2021-02-27,58.24
2021-02-28,59.21
2021-03-01,59.86
2021-03-02,61.23
2021-03-03,60.26
2021-03-04,60.95
2021-03-05,62.01
2021-03-06,60.25
2021-03-07,59.06
2021-03-08,57.02
2021-03-09,56.75
2021-03-10,57.47
2021-03-11,58.97
2021-03-12,59.05
2021-03-13,60.68
2021-03-14,59.3
2021-03-15,57.59
2021-03-16,57.54
2021-03-17,57.92
2021-03-18,57.89
2021-03-19,55.82
2021-03-20,55.73
2021-03-21,54.43
2021-03-22,55.1
2021-03-23,55.46
2021-03-24,54.52
2021-03-25,54.01
2021-03-26,52.95
2021-03-27,52.89
2021-03-28,53.84
2021-03-29,52.86
2021-03-30,53.36
2021-03-31,52.83
2021-04-01,52.04
2021-04-02,51.93
2021-04-03,50.9
2021-04-04,50.34
2021-04-05,49.15
2021-04-06,51.11
2021-04-07,51.15
2021-04-08,50.45
2021-04-09,50.66
2021-04-10,50.55
2021-04-11,50.33
2021-04-12,50.94
2021-04-13,51.7
2021-04-14,51.17
2021-04-15,50.59
2021-04-16,50.32
2021-04-17,48.01
2021-04-18,46.5
2021-04-19,47.87
2021-04-20,49.51
2021-04-21,24.26
2021-04-22,49.84
2021-04-23,50.15
2021-04-24,53.23
2021-04-25,54.35
2021-04-26,54.22
2021-04-27,53.27
2021-04-28,51.66
2021-04-29,51.86
2021-04-30,51.11
2021-05-01,49.68
2021-05-02,49.04
2021-05-03,47.96
2021-05-04,49.64
2021-05-05,50.52
2021-05-06,50.52
2021-05-07,52.0
2021-05-08,52.07
2021-05-09,51.21
2021-05-10,52.74
2021-05-11,53.27
2021-05-12,52.24
2021-05-13,52.05
2021-05-14,51.17
2021-05-15,49.79
2021-05-16,50.71
2021-05-17,52.62
2021-05-18,51.23
2021-05-19,51.79
2021-05-20,51.14
2021-05-21,50.65
2021-05-22,50.06
2021-05-23,49.19
2021-05-24,49.24
2021-05-25,48.41
2021-05-26,48.68
2021-05-27,48.63
2021-05-28,48.39
2021-05-29,47.49
2021-05-30,46.91
2021-05-31,47.66
2021-06-01,48.17
2021-06-02,47.19
2021-06-03,47.29
2021-06-04,48.04
2021-06-05,46.37
2021-06-06,46.91
2021-06-07,46.25
2021-06-08,46.82
2021-06-09,46.06
2021-06-10,44.25
2021-06-11,42.62
2021-06-12,42.67
2021-06-13,42.93
2021-06-14,42.03
2021-06-15,42.67
2021-06-16,41.01
2021-06-17,40.94
2021-06-18,39.73
2021-06-19,39.08
2021-06-20,59.12
2021-06-21,38.26
2021-06-22,37.88
2021-06-23,38.88
2021-06-24,38.31
2021-06-25,39.14
2021-06-26,38.01
2021-06-27,38.54
2021-06-28,39.99
2021-06-29,37.51
2021-06-30,36.72
2021-07-01,37.29
2021-07-02,37.09
2021-07-03,37.46
2021-07-04,36.86
2021-07-05,36.94
2021-07-06,36.79
2021-07-07,37.96
2021-07-08,38.21
2021-07-09,38.55
2021-07-10,38.14
2021-07-11,37.65
2021-07-12,37.22
2021-07-13,37.61
2021-07-14,37.19
2021-07-15,37.48
2021-07-16,39.56
2021-07-17,40.43
2021-07-18,40.1
2021-07-19,41.3
